Designator,Mid X,Mid Y,Rotation,Layer
BB1,29.947,66.446,0.0,top
BZ1,29.947,54.381,180.0,top
C1,41.297,62.581,270.0,top
C2,41.297,57.581,270.0,top
D1,47.497,67.581,270.0,top
D2,12.397,67.581,270.0,top
D3,11.397,41.861,90.0,top
D4,48.397,42.001,90.0,top
J1,29.587,36.331,270.0,top
J10,33.997,71.481,0.0,top
J11,25.497,74.926,180.0,top
J12,33.997,74.926,180.0,top
J2,29.587,32.631,270.0,top
J3,42.997,35.171,180.0,top
J4,11.447,34.996,180.0,top
J5,15.997,34.996,180.0,top
J6,20.997,34.996,180.0,top
J7,37.997,35.171,180.0,top
J8,47.997,35.171,180.0,top
J9,25.497,71.481,0.0,top
R1,31.2095,39.231,180.0,top
R10,41.2095,51.181,180.0,top
R2,27.7095,39.231,180.0,top
R3,17.5095,70.731,0.0,top
R4,14.697,41.9435,90.0,top
R5,45.097,42.0435,90.0,top
R6,26.9845,68.531,0.0,top
R7,32.8845,68.531,180.0,top
R8,41.2095,45.281,0.0,top
R9,41.2095,48.231,180.0,top
SW1,15.897,75.231,180.0,top
U1,29.947,54.741,0.0,top
U2,44.197,74.331,180.0,top
