Designator,Mid X,Mid Y,Rotation,Layer
BB1,29.947,66.446,0.0,top
BZ1,29.947,54.381,180.0,top
BZ2,29.94,54.4,270.0,top
C1,41.297,62.581,270.0,top
C2,36.69,76.65,270.0,top
C3,36.69,71.4,90.0,top
C4,41.297,58.981,90.0,top
D1,47.297,47.531,0.0,top
D10,47.397,34.981,270.0,top
D11,12.597,35.081,270.0,top
D12,12.397,67.581,270.0,top
D2,12.697,47.631,180.0,top
D3,49.015,56.5,180.0,top
D4,10.865,56.75,0.0,top
D5,49.0345,44.931,180.0,top
D6,47.397,41.201,90.0,top
D7,12.597,41.301,90.0,top
D8,11.0025,44.95,0.0,top
D9,47.497,67.581,270.0,top
J1,48.292,52.131,90.0,top
J10,24.097,71.481,0.0,top
J11,24.097,74.926,180.0,top
J2,11.602,52.301,270.0,top
J3,29.949652,28.231,90.0,top
J4,37.997,34.996,180.0,top
J5,18.272,34.996,180.0,top
J6,22.097,34.996,180.0,top
J7,25.897,34.996,180.0,top
J8,34.297,34.996,180.0,top
J9,41.722,34.996,180.0,top
Q1,49.047,60.331,90.0,top
Q2,10.747,60.631,90.0,top
R1,45.3775,56.5,0.0,top
R10,23.74,66.5625,270.0,top
R11,36.19,66.5625,270.0,top
R12,41.2025,45.65,180.0,top
R13,41.2095,48.231,180.0,top
R14,41.2025,50.65,180.0,top
R2,14.5025,56.75,180.0,top
R3,45.5775,44.9,0.0,top
R4,14.5095,44.931,180.0,top
R5,45.54,61.3435,270.0,top
R6,14.14,61.6435,270.0,top
R7,30.1845,32.0,0.0,top
R8,30.1775,34.319,180.0,top
R9,17.7275,70.6,180.0,top
SW1,14.522,75.181,180.0,top
U1,44.197,74.331,180.0,top
U2,29.947,54.741,0.0,top
U3,31.997,74.081,90.0,top
